time	chroma	timbre	dB
19.371	[0.191, 1.0, 0.398, 0.289, 0.168, 0.163, 0.028, 0.029, 0.086, 0.105, 0.08, 0.06]	[45.225, 89.265, 18.2, -35.221, 33.099, -41.986, -0.719, 3.298, 54.02, 23.06, -12.258, -27.497]	-15.714
19.528	[0.134, 0.407, 0.498, 1.0, 0.36, 0.039, 0.037, 0.058, 0.098, 0.115, 0.275, 0.077]	[46.113, 113.531, 7.032, 44.673, 25.229, -60.247, -21.592, 9.043, 30.093, 23.7, -30.905, -19.116]	-15.189
19.761	[0.331, 1.0, 0.277, 0.277, 0.178, 0.18, 0.037, 0.029, 0.063, 0.081, 0.18, 0.09]	[42.113, 132.583, -57.407, -6.055, 13.843, -37.847, -39.113, -10.684, 37.607, 9.544, -5.885, -32.098]	-19.767
19.894	[1.0, 0.717, 0.524, 0.505, 0.404, 0.315, 0.264, 0.265, 0.222, 0.194, 0.289, 0.471]	[39.788, 136.109, -11.097, -17.817, 58.181, -26.767, -74.795, -13.16, 47.466, 2.444, -14.203, -17.254]	-21.120
20.027	[0.695, 0.777, 0.987, 0.752, 0.915, 1.0, 0.771, 0.659, 0.763, 0.899, 0.751, 0.675]	[40.232, 143.791, 35.579, 24.764, 83.043, -41.139, -79.694, 4.182, 23.269, -0.171, -30.806, -4.43]	-23.803
20.277	[0.618, 0.519, 0.629, 0.535, 0.631, 0.648, 0.649, 0.729, 0.627, 0.7, 1.0, 0.99]	[33.455, 250.928, 37.832, 49.479, 44.094, -73.625, -59.103, -12.265, -17.842, 7.761, 0.485, 10.238]	-27.154
20.404	[0.39, 0.399, 0.591, 0.599, 0.735, 0.665, 0.382, 1.0, 0.707, 0.469, 0.624, 0.594]	[30.577, 238.808, 66.659, 6.519, 50.167, -41.833, -47.168, -22.151, 7.434, 17.555, -12.754, -14.88]	-30.891
20.497	[1.0, 0.156, 0.083, 0.091, 0.081, 0.091, 0.075, 0.106, 0.077, 0.114, 0.129, 0.77]	[40.867, 139.471, 24.56, 6.956, 35.943, 93.804, -12.025, -11.39, 0.916, 79.843, -24.679, -11.373]	-30.878
20.776	[1.0, 0.759, 0.009, 0.007, 0.019, 0.018, 0.025, 0.029, 0.253, 0.253, 0.695, 0.028]	[38.888, 121.615, -77.648, 20.395, 0.161, -62.371, -21.736, -41.738, 13.028, 25.991, -37.603, -6.388]	-24.245
20.883	[0.446, 0.154, 0.071, 0.086, 0.251, 0.291, 0.458, 0.468, 0.88, 0.866, 1.0, 0.06]	[35.237, 18.0, -77.12, -11.023, -0.787, -10.815, -5.518, 15.153, 9.869, 34.121, -21.414, 1.901]	-26.914
21.019	[0.345, 0.037, 0.031, 0.022, 0.032, 0.089, 0.021, 0.035, 0.037, 0.237, 0.521, 1.0]	[36.499, 86.549, -97.659, 55.033, -2.77, -69.564, -19.95, 28.737, 8.339, 6.391, -1.941, -2.823]	-28.973
21.209	[0.824, 0.352, 0.211, 0.141, 0.15, 0.301, 0.214, 0.287, 0.435, 0.749, 0.74, 1.0]	[33.373, 90.883, -86.038, -96.676, -8.031, 13.235, -13.616, 1.694, 25.718, -5.796, -61.668, 3.103]	-30.563
21.402	[0.58, 0.158, 0.027, 0.025, 0.023, 0.05, 0.309, 0.304, 0.836, 0.837, 1.0, 0.027]	[31.115, 106.441, -140.552, -58.537, -14.042, -51.591, -32.123, -26.607, -9.534, 10.963, 3.916, -26.764]	-31.977
21.522	[0.516, 0.1, 0.047, 0.047, 0.028, 0.038, 0.274, 0.267, 0.829, 0.841, 1.0, 0.035]	[40.494, 97.23, -30.816, 133.243, -29.57, -69.386, -28.25, -7.823, -9.267, 11.981, -51.72, -7.318]	-31.754
21.644	[1.0, 0.672, 0.251, 0.245, 0.444, 0.524, 0.352, 0.328, 0.449, 0.443, 0.693, 0.205]	[31.372, 91.031, -133.755, -42.398, -0.106, -40.305, -9.101, -32.263, -28.128, 0.85, -7.715, -18.586]	-31.327
21.771	[0.121, 0.057, 0.036, 0.051, 0.259, 1.0, 0.238, 0.025, 0.013, 0.016, 0.01, 0.059]	[34.611, 116.633, -132.285, 71.399, -32.208, -44.526, -20.316, -58.098, -9.274, 22.457, -5.734, 8.072]	-31.382
22.023	[0.267, 0.167, 0.048, 0.026, 0.246, 1.0, 0.311, 0.016, 0.02, 0.02, 0.011, 0.137]	[35.182, 75.644, -113.55, 88.905, 1.716, -91.038, -23.094, 20.321, -2.683, 10.725, -19.659, -4.219]	-35.006
22.237	[0.362, 0.687, 0.413, 0.404, 1.0, 0.997, 0.982, 0.981, 0.431, 0.435, 0.252, 0.039]	[31.965, 109.52, -113.019, -24.721, -9.49, 95.997, 1.886, 23.995, 13.336, -58.401, -67.865, 2.166]	-35.227
