time	ZC
319.019	0.345
319.274	0.173
319.530	0.288
319.762	0.254
320.017	0.112
320.250	0.249
320.273	0.190
320.505	0.110
320.760	0.237
321.016	0.111
321.271	0.180
321.503	0.054
321.759	0.313
321.898	0.164
322.014	0.166
322.270	0.463
322.525	0.079
322.757	0.268
323.013	0.138
323.268	0.261
323.315	0.178
323.524	0.140
323.756	0.294
324.011	0.091
324.267	0.186
324.522	0.075
324.754	0.244
325.010	0.197
325.033	0.097
325.265	0.215
325.521	0.126
325.753	0.277
326.008	0.158
326.264	0.540
326.519	0.093
326.751	0.378
326.891	0.214
327.007	0.221
327.262	0.188
327.517	0.147
327.750	0.340
328.005	0.178
328.260	0.458
328.284	0.228
328.516	0.172
328.771	0.249
329.004	0.146
329.259	0.233
329.538	0.084
329.584	0.196
329.770	0.290
330.002	0.217
330.025	0.160
330.257	0.198
330.513	0.156
330.768	0.296
331.000	0.126
331.256	0.181
331.511	0.237
331.535	0.218
331.767	0.491
332.022	0.134
332.254	0.219
332.510	0.137
332.765	0.247
333.021	0.289
333.253	0.369
333.276	0.213
333.578	0.212
333.764	0.313
334.019	0.184
334.274	0.242
334.367	0.159
334.507	0.207
334.762	0.316
334.878	0.257
335.018	0.208
335.273	0.185
335.528	0.326
335.761	0.299
336.016	0.288
336.271	0.217
336.504	0.365
336.527	0.137
336.759	0.517
337.014	0.460
337.270	0.271
337.525	0.094
337.757	0.650
338.013	0.159
338.059	0.295
338.268	0.624
338.500	0.141
338.756	0.260
339.011	0.144
339.267	0.344
339.522	0.186
339.754	0.333
339.778	0.268
340.010	0.159
340.265	0.257
340.521	0.110
340.683	0.281
340.753	0.362
341.008	0.161
341.264	0.338
341.426	0.261
341.519	0.164
341.751	0.337
342.007	0.174
342.262	0.511
342.518	0.096
342.657	0.340
342.889	0.223
343.005	0.269
343.028	0.243
343.261	0.189
343.516	0.229
343.771	0.308
344.004	0.167
344.259	0.207
344.514	0.135
344.747	0.213
344.770	0.218
345.002	0.151
345.258	0.238
345.513	0.172
345.768	0.334
346.001	0.202
346.256	0.369
346.279	0.220
346.511	0.216
346.767	0.276
347.022	0.208
347.278	0.189
347.510	0.287
347.765	0.328
347.974	0.149
348.021	0.162
348.276	0.206
348.508	0.130
348.764	0.279
349.019	0.323
349.251	0.255
349.507	0.170
349.576	0.191
349.762	0.334
350.018	0.234
350.273	0.522
350.505	0.120
350.761	0.331
351.016	0.220
351.248	0.297
351.271	0.180
351.527	0.305
351.759	0.418
352.015	0.307
352.270	0.218
352.502	0.148
352.758	0.534
353.013	0.502
353.268	0.197
353.756	0.678
354.011	0.281
354.267	0.333
355.010	0.137
355.265	0.289
