MFCC	ZC	time	noteName	noteMIDI	noteKey	noteOctave	chordName	chordKey	chordMode	chordNotes	RMS
[-0.050710876358619865, 0.054163544916317641, -0.040208591909591397, -0.054894116254886355, -0.011065260260779372, -0.036712762667947874, -0.015187064175823772, -0.046633130620177016, -0.023404665714458851, -0.034647353779248755, -0.039035848974404985, 0.016691195267790841]	0.226	13.584	F	41	5	2	F	5	1	[1, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0]	0.579
[-0.018001263795688682, 0.090182940524789493, 0.0068466387532751119, -0.074415298825445605, 0.013382001442389333, -0.013398359398385257, 0.033837611262977664, 0.018657646588384584, 0.0068799817599922621, 0.028665176277668875, 0.023505534560543957, 0.088568281254643971]	0.266	13.816	A	45	9	2	F	5	1	[1, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0]	0.554
[0.0077577681882908629, 0.040039708549172395, 0.0039823357489635267, -0.066195355367553513, -0.026853338354877465, -0.038952073993665889, 0.011676629384802429, -0.017625712418405652, -0.035887308072095357, -0.048367215098180587, -0.0014615391164455461, -0.026298239033252742]	0.186	14.071	F	41	5	2	F	5	1	[1, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0]	0.582
[0.033209012448377248, 0.1018483280675514, 0.04629892640423456, 0.0046368646353396855, -0.019822779600043756, -0.0015792454358596645, 0.0110755960955183, -0.019585549306233862, 0.0014388701203958756, -0.018323380705181629, 0.017802093040395241, 0.023846738281505381]	0.192	14.280	F#	30	6	1	Bm	11	0	[0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 1]	0.693
[-0.025295151137738347, 0.10807877283893276, -0.025459668263516005, 0.015657209959774883, 0.037929962366718042, -0.002944025289313906, 0.0053466025667445313, -0.0022340838453983863, -0.019057133475779156, 0.022086557177183806, -0.022696107416682428, 0.0042511245871636738]	0.455	14.512	B	47	11	2	Bm	11	0	[0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 1]	0.556
[0.0066055888894427338, 0.049863870105095437, -0.018251411941384493, -0.039877336974368981, 0.036195116330950003, 0.019006801947012583, 0.071953286366200464, 0.017751737960754285, -0.00088437564058912468, -0.061070381311027773, -0.030726961293465797, -0.06953830963708231]	0.286	14.745	D	50	2	3	Dm	2	0	[0, 0, 1, 0, 0, 1, 0, 0, 0, 1, 0, 0]	0.696
[0.072594602771158326, 0.051347172692592147, -0.021097363804853886, -0.019848475747500937, -0.018915793533736895, 0.012608695849460125, -0.0084110870852708262, 0.018043916381290298, -0.0047180034467589746, -0.028164213719804262, -0.024113885225999308, 0.0011082322842823533]	0.151	14.861	D	50	2	3	Bm	11	0	[0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 1]	0.641
[0.043090666753854534, 0.10473082189856711, -0.0040059784141260263, -0.062034128991924099, 0.0072894280471603769, 0.0095417501324622511, 0.045522427163331727, -0.024356336499326871, 0.014770560673425694, -0.0013886015459191854, 0.071733710585361196, 0.011610911288136457]	0.186	14.977	G	43	7	2	Bm	11	0	[0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 1]	0.539
[0.050328304987234548, 0.10027201170322475, 0.038895460818982236, -0.013084948893046429, 0.015216998630158065, -0.0022820391913104241, 0.020099734473280634, -0.032307529845778102, -0.010218495634746491, -0.030813800479976887, 0.01771032001213033, 0.0075952680109031331]	0.227	15.209	G#	32	8	1	A	9	1	[0, 1, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0]	0.618
[-0.0012250411589711735, 0.040716192264408271, 0.0064480974577542068, -0.058572807343557437, -0.017679974475729186, -0.0065125119539444472, 0.014639623333723375, 0.0040207613337765154, 0.033995479132469905, 0.018191457877795216, 0.043911344328225729, 0.048143934042847801]	0.252	15.441	A	45	9	2	A	9	1	[0, 1, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0]	0.457
